True;report_time;location;incident_type;summary;raw_string
1600248;2016-01-23 13:40:00;1109 EXPOSITION BL;BURGLARY-MOTOR VEHICLE;A suspect removed a purse.  1/23/16 1/23/16 BURGLARY-MOTOR VEHICLE  to  -;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line] 1:40 pm[new_line][new_line]Location:[new_line][new_line]1109 EXPOSITION BL[new_line][new_line]Report #:[new_line][new_line]1600248[new_line][new_line]-[new_line][new_line]10:00 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a purse.[new_line][new_line]1/23/16[new_line]1/23/16[new_line]BURGLARY-MOTOR VEHICLE[new_line][new_line]to[new_line][new_line]-[new_line][new_line]10:45 am[new_line][new_line]Disposition: Open[new_line][new_line]Burglary-Motor Vehicle[new_line][new_line]
1600249;2016-01-23 16:19:00;PHYSICAL EDUCATION BUILDING;THEFT-PETTY;A suspect removed a wallet and a cellular phone.  1/23/16 THEFT-PETTY;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line] 4:19 pm[new_line][new_line]Location:[new_line][new_line]PHYSICAL EDUCATION BUILDING[new_line][new_line]Report #:[new_line][new_line]1600249[new_line][new_line]-[new_line][new_line] 2:45 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a wallet and a cellular phone.[new_line][new_line]1/23/16[new_line]THEFT-PETTY[new_line][new_line] 4:00 pm[new_line][new_line]1/23/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 1/21/2016 To 1/25/2016[new_line][new_line]
1600250;2016-01-23 17:25:00;JEFFERSON BL & HOOVER ST;HARASSMENT;A student reported that his ex-girlfriend is stalking him.  1/23/16 HARASSMENT;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line] 5:25 pm[new_line][new_line]Location:[new_line][new_line]JEFFERSON BL & HOOVER ST[new_line][new_line]Report #:[new_line][new_line]1600250[new_line][new_line]-[new_line][new_line] 5:25 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student reported that his ex-girlfriend is stalking him.[new_line][new_line]1/23/16[new_line]HARASSMENT[new_line][new_line] 5:25 pm[new_line][new_line]Stalking[new_line][new_line]1/23/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Student Affairs, HR[new_line][new_line]
1600251;2016-01-23 19:09:00;3005 SHRINE PL;THEFT-PETTY;A suspect removed a bicycle.  1/21/16 THEFT-PETTY  to  1/22/16  -;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line] 7:09 pm[new_line][new_line]Location:[new_line][new_line]3005 SHRINE PL[new_line][new_line]Report #:[new_line][new_line]1600251[new_line][new_line]-[new_line][new_line] 8:00 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a bicycle.[new_line][new_line]1/21/16[new_line]THEFT-PETTY[new_line][new_line]to[new_line][new_line]1/22/16[new_line][new_line]-[new_line][new_line] 5:00 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1600252;2016-01-23 20:35:00;TROJAN PLAZA;THEFT-PETTY;A suspect removed a bicycle.  1/23/16 THEFT-PETTY  to  1/23/16  -;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line] 8:35 pm[new_line][new_line]Location:[new_line][new_line]TROJAN PLAZA[new_line][new_line]Report #:[new_line][new_line]1600252[new_line][new_line]-[new_line][new_line]11:44 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a bicycle.[new_line][new_line]1/23/16[new_line]THEFT-PETTY[new_line][new_line]to[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line]11:44 am[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1600253;2016-01-23 22:18:00;DELTA CHI;FIRE;A fire alarm was activated due to a malfunction.  1/23/16 FIRE;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line]10:18 pm[new_line][new_line]Location:[new_line][new_line]DELTA CHI[new_line][new_line]Report #:[new_line][new_line]1600253[new_line][new_line]-[new_line][new_line]10:18 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A fire alarm was activated due to a malfunction.[new_line][new_line]1/23/16[new_line]FIRE[new_line][new_line]10:34 pm[new_line][new_line]1/23/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Alarm Malfunction[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs, Safety, Housing[new_line][new_line]
1600254;2016-01-23 23:05:00;CECELE & MICHAEL BIRNKRANT RESIDENCE  HALL;ALCOHOL;A student was transported to a local hospital for medical treatment following an alcohol overdose.  1/23/16 - ALCOHOL  Alcohol/Drug Overdose;[new_line][new_line]1/23/16[new_line][new_line]-[new_line][new_line]11:05 pm[new_line][new_line]Location:[new_line][new_line]CECELE & MICHAEL BIRNKRANT RESIDENCE [new_line]HALL[new_line][new_line]Report #:[new_line][new_line]1600254[new_line][new_line]11:05 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]1/23/16[new_line]-[new_line]ALCOHOL[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line] 1:00 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600255;2016-01-24 01:36:00;ENTRANCE GATE 5;ALCOHOL;A student was transported to a local hospital for medical treatment following an alcohol overdose.  1/24/16 - ALCOHOL  Alcohol/Drug Overdose;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 1:36 am[new_line][new_line]Location:[new_line][new_line]ENTRANCE GATE 5[new_line][new_line]Report #:[new_line][new_line]1600255[new_line][new_line] 1:36 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]1/24/16[new_line]-[new_line]ALCOHOL[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line] 2:43 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600256;2016-01-24 00:43:00;2624 ORCHARD AV;ALCOHOL;A student was transported to a local hospital for medical treatment following an alcohol overdose.  - 1/24/16 ALCOHOL  Alcohol/Drug Overdose;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line]12:43 am[new_line][new_line]Location:[new_line][new_line]2624 ORCHARD AV[new_line][new_line]Report #:[new_line][new_line]1600256[new_line][new_line]12:43 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]-[new_line]1/24/16[new_line]ALCOHOL[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line]12:43 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 1/21/2016 To 1/25/2016[new_line][new_line]
1600257;2016-01-24 02:16:00;2827 MENLO AV;ALCOHOL;A student was transported to a local hospital for medical treatment following an alcohol overdose.  1/24/16 - ALCOHOL  Alcohol/Drug Overdose;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 2:16 am[new_line][new_line]Location:[new_line][new_line]2827 MENLO AV[new_line][new_line]Report #:[new_line][new_line]1600257[new_line][new_line] 2:16 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]1/24/16[new_line]-[new_line]ALCOHOL[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line] 2:16 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600258;2016-01-24 09:32:00;ELLENDALE TROJAN APTS.;IDENTITY THEFT;A suspect used unknown means to make seven unauthorized purchases on a student's credit card account.;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 9:32 am[new_line][new_line]Location:[new_line][new_line]ELLENDALE TROJAN APTS.[new_line][new_line]Report #:[new_line][new_line]1600258[new_line][new_line]-[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect used unknown means to make seven unauthorized purchases on a student's credit card account.[new_line][new_line]12/12/15  8:00 am[new_line]IDENTITY THEFT[new_line][new_line]Disposition: Open[new_line][new_line]Identity Theft[new_line][new_line]11:59 pm[new_line][new_line]12/16/15[new_line][new_line]to[new_line][new_line]-[new_line][new_line]
1600259;2016-01-24 06:31:00;UNIVERSITY GATEWAY APARTMENTS;THEFT-PETTY;A suspect was arrested for removing a student's bicycle from the location.  1/24/16 THEFT-PETTY  Theft Petty-Plain;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 6:31 am[new_line][new_line]Location:[new_line][new_line]UNIVERSITY GATEWAY APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1600259[new_line][new_line]-[new_line][new_line] 6:31 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect was arrested for removing a student's bicycle from the location.[new_line][new_line]1/24/16[new_line]THEFT-PETTY[new_line][new_line]Theft Petty-Plain[new_line][new_line] 6:31 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared Arrest[new_line][new_line]
1600260;2016-01-24 08:02:00;30TH ST & VERMONT AV;ALCOHOL;An intoxicated student who was observed walking in and out of traffic near the location was taken into custody by officers and   - 1/24/16 ALCOHOL;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 8:02 am[new_line][new_line]Location:[new_line][new_line]30TH ST & VERMONT AV[new_line][new_line]Report #:[new_line][new_line]1600260[new_line][new_line]to[new_line][new_line] 8:02 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: An intoxicated student who was observed walking in and out of traffic near the location was taken into custody by officers and [new_line][new_line]-[new_line]1/24/16[new_line]ALCOHOL[new_line][new_line]Disposition: CLOSED[new_line][new_line]Drunk In Public[new_line][new_line]11:20 am[new_line][new_line]1/24/16[new_line][new_line]subsequently examined by paramedics due to him having sustained multiple injuries of which he had no recollection.  The [new_line]student was then released into the care of his mother.[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600261;2016-01-24 12:17:00;2626 ORCHARD AV;THEFT-PETTY;A suspect removed a bicycle.  1/24/16 THEFT-PETTY  to  1/24/16  -;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line]12:17 pm[new_line][new_line]Location:[new_line][new_line]2626 ORCHARD AV[new_line][new_line]Report #:[new_line][new_line]1600261[new_line][new_line]-[new_line][new_line] 2:00 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a bicycle.[new_line][new_line]1/24/16[new_line]THEFT-PETTY[new_line][new_line]to[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 7:00 am[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1600262;2016-01-24 12:21:00;RAY & NADINE WATT HALL OF ARCHITECTURE  & FINE ARTS;TRESPASS;A staff member reported that she observed a suspect sleeping inside an office suite at the location.  The staff member ordered   1/24/16 TRESPASS;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line]12:21 pm[new_line][new_line]Location:[new_line][new_line]RAY & NADINE WATT HALL OF ARCHITECTURE [new_line]& FINE ARTS[new_line][new_line]Report #:[new_line][new_line]1600262[new_line][new_line]-[new_line][new_line]12:21 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A staff member reported that she observed a suspect sleeping inside an office suite at the location.  The staff member ordered [new_line][new_line]1/24/16[new_line]TRESPASS[new_line][new_line]Disposition: CLOSED[new_line][new_line]Trespassing[new_line][new_line] 1:32 pm[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]the suspect to leave and he complied.[new_line][new_line]
1600263;2016-01-24 12:46:00;AVALON APARTMENTS;BURGLARY;A suspect removed a laptop computer, a video game console and a video game.  1/24/16 BURGLARY  Burglary-Residential;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line]12:46 pm[new_line][new_line]Location:[new_line][new_line]AVALON APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1600263[new_line][new_line]-[new_line][new_line] 4:00 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a laptop computer, a video game console and a video game.[new_line][new_line]1/24/16[new_line]BURGLARY[new_line][new_line]Burglary-Residential[new_line][new_line]11:00 am[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 1/21/2016 To 1/25/2016[new_line][new_line]
1600265;2016-01-24 14:46:00;1234 37TH PL;THEFT-PETTY;A suspect removed a bicycle.  1/22/16 THEFT-PETTY  to  1/24/16  -;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 2:46 pm[new_line][new_line]Location:[new_line][new_line]1234 37TH PL[new_line][new_line]Report #:[new_line][new_line]1600265[new_line][new_line]-[new_line][new_line]10:00 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed a bicycle.[new_line][new_line]1/22/16[new_line]THEFT-PETTY[new_line][new_line]to[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 3:00 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1600266;2016-01-24 15:10:00;UPC PUBLIC SAFETY OFFICE;SERVICE;A student was examined and released at the scene after a bee stung her on the lip.  1/24/16 - SERVICE  Injury Response;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 3:10 pm[new_line][new_line]Location:[new_line][new_line]UPC PUBLIC SAFETY OFFICE[new_line][new_line]Report #:[new_line][new_line]1600266[new_line][new_line] 3:10 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was examined and released at the scene after a bee stung her on the lip.[new_line][new_line]1/24/16[new_line]-[new_line]SERVICE[new_line][new_line]Injury Response[new_line][new_line] 3:52 pm[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1600267;2016-01-24 18:35:00;ADAMS BL & VERMONT AV;TRAFFIC;A student driving his personal vehicle collided with another student driving her personal vehicle, causing unspecified damage.  Traffic Collision Without Injuries;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 6:35 pm[new_line][new_line]Location:[new_line][new_line]ADAMS BL & VERMONT AV[new_line][new_line]Report #:[new_line][new_line]1600267[new_line][new_line] 6:35 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student driving his personal vehicle collided with another student driving her personal vehicle, causing unspecified damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line]Disposition: CLOSED[new_line][new_line]1/24/16[new_line]-[new_line]TRAFFIC[new_line][new_line] 7:19 pm[new_line][new_line]1/24/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]
1600268;2016-01-24 19:17:00;JEFFERSON BL & ORCHARD AV;EH&S;The smell of gas was reported near the location and personnel from the Southern California Gas Company were requested to   Smell of Smoke, Odor, Non-Fire;[new_line][new_line]1/24/16[new_line][new_line]-[new_line][new_line] 7:17 pm[new_line][new_line]Location:[new_line][new_line]JEFFERSON BL & ORCHARD AV[new_line][new_line]Report #:[new_line][new_line]1600268[new_line][new_line]-[new_line][new_line] 7:17 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: The smell of gas was reported near the location and personnel from the Southern California Gas Company were requested to [new_line][new_line]Smell of Smoke, Odor, Non-Fire[new_line][new_line]Disposition: CLOSED[new_line][new_line]1/24/16[new_line]EH&S[new_line][new_line] 8:21 pm[new_line][new_line]1/24/16[new_line][new_line]investigate.  A non-flammable leak was discovered and additional personnel were requested to conduct repairs.[new_line][new_line]to[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]1/24/16[new_line][new_line]11:59 pm[new_line][new_line]
1600269;;RONALD TUTOR CAMPUS CENTER;SERVICE;Officers contacted a student who was reported to have posted a possible threatening statement on a social media site and after   Suspicious Circumstances;[new_line][new_line]Location:[new_line][new_line]RONALD TUTOR CAMPUS CENTER[new_line][new_line]Report #:[new_line][new_line]1600269[new_line][new_line]11:59 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: Officers contacted a student who was reported to have posted a possible threatening statement on a social media site and after [new_line][new_line]Suspicious Circumstances[new_line][new_line]Disposition: CLOSED[new_line][new_line]1/24/16[new_line]-[new_line]SERVICE[new_line][new_line] 1:08 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]questioning her they concluded that the post was not a threat.[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600270;2016-01-25 00:07:00;MARIANNE & J.DOUGLAS PARDEE TOWER;ALCOHOL;A student was transported to a local hospital for medical treatment following an alcohol overdose.  1/25/16 - ALCOHOL  Alcohol/Drug Overdose;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]12:07 am[new_line][new_line]Location:[new_line][new_line]MARIANNE & J.DOUGLAS PARDEE TOWER[new_line][new_line]Report #:[new_line][new_line]1600270[new_line][new_line]12:07 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]1/25/16[new_line]-[new_line]ALCOHOL[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line] 1:22 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1600271;2016-01-25 00:03:00;CAL MART BEER & WINE FOOD STORE;THEFT-PETTY;A juvenile and a non-USC female were detained for investigation after a store employee observed them both remove bottles of   1/25/16 THEFT-PETTY;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]12:03 am[new_line][new_line]Location:[new_line][new_line]CAL MART BEER & WINE FOOD STORE[new_line][new_line]Report #:[new_line][new_line]1600271[new_line][new_line]-[new_line][new_line]12:03 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A juvenile and a non-USC female were detained for investigation after a store employee observed them both remove bottles of [new_line][new_line]1/25/16[new_line]THEFT-PETTY[new_line][new_line]Disposition: Cleared Arrest[new_line][new_line]Theft Petty-Plain[new_line][new_line]12:03 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]beer from the location.  The beer was recovered and the subjects were released after the employee declined criminal [new_line]prosecution of the matter.[new_line][new_line]
1600272;2016-01-25 08:14:00;KECK HOSPITAL OF USC;SERVICE;A non-USC female was transported within the facility for medical treatment after experiencing dizziness.;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 8:14 am[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1600272[new_line][new_line] 8:14 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A non-USC female was transported within the facility for medical treatment after experiencing dizziness.[new_line][new_line]Disposition: CLOSED[new_line][new_line]1/25/16[new_line]-[new_line]SERVICE[new_line][new_line]Illness Response[new_line][new_line] 9:05 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]
1600273;2016-01-25 10:46:00;29TH ST & HOOVER ST;TRAFFIC;A student was struck by a vehicle while riding her bicycle.  The student sustained unspecified injuries and was transported to a ;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]10:46 am[new_line][new_line]Location:[new_line][new_line]29TH ST & HOOVER ST[new_line][new_line]Report #:[new_line][new_line]1600273[new_line][new_line]10:46 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was struck by a vehicle while riding her bicycle.  The student sustained unspecified injuries and was transported to a [new_line][new_line]Disposition: CLOSED[new_line][new_line]-[new_line]1/25/16[new_line]TRAFFIC[new_line][new_line]Traffic Collision-Bicycle[new_line][new_line]11:19 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]local hospital for medical treatment.[new_line][new_line]cc: Student Affairs[new_line][new_line]
1600274;2016-01-25 10:47:00;PHYSICAL EDUCATION BUILDING;SERVICE;A student was transported to SHC for medical treatment after injuring his ankle.  1/25/16 - SERVICE  Injury Response;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]10:47 am[new_line][new_line]Location:[new_line][new_line]PHYSICAL EDUCATION BUILDING[new_line][new_line]Report #:[new_line][new_line]1600274[new_line][new_line]10:47 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was transported to SHC for medical treatment after injuring his ankle.[new_line][new_line]1/25/16[new_line]-[new_line]SERVICE[new_line][new_line]Injury Response[new_line][new_line]11:29 am[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Student Affairs[new_line][new_line]
1600275;2016-01-25 11:07:00;KAPRIELIAN HALL;SERVICE;A student was examined and released at the scene after suffering an asthma attack.  1/25/16 - SERVICE  Illness Response;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]11:07 am[new_line][new_line]Location:[new_line][new_line]KAPRIELIAN HALL[new_line][new_line]Report #:[new_line][new_line]1600275[new_line][new_line]11:07 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student was examined and released at the scene after suffering an asthma attack.[new_line][new_line]1/25/16[new_line]-[new_line]SERVICE[new_line][new_line]Illness Response[new_line][new_line]12:03 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 1/24/2016 To 1/26/2016[new_line][new_line]
1600276;2016-01-25 11:40:00;H. LESLIE HOFFMAN HALL OF BUSINESS  ADMINISTRATION;PROPERTY;A bicycle was recovered from a theft suspect.  1/25/16 PROPERTY;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line]11:40 am[new_line][new_line]Location:[new_line][new_line]H. LESLIE HOFFMAN HALL OF BUSINESS [new_line]ADMINISTRATION[new_line][new_line]Report #:[new_line][new_line]1600276[new_line][new_line]-[new_line][new_line]11:40 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A bicycle was recovered from a theft suspect.[new_line][new_line]1/25/16[new_line]PROPERTY[new_line][new_line]12:55 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Recovered/Impounded Bicycle[new_line][new_line]Disposition: Open[new_line][new_line]
1600277;2016-01-25 14:22:00;H. LESLIE HOFFMAN HALL OF BUSINESS  ADMINISTRATION;VANDALISM;A suspect cut a cable lock that was attached to a student's bicycle.  1/25/16 VANDALISM;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 2:22 pm[new_line][new_line]Location:[new_line][new_line]H. LESLIE HOFFMAN HALL OF BUSINESS [new_line]ADMINISTRATION[new_line][new_line]Report #:[new_line][new_line]1600277[new_line][new_line]-[new_line][new_line] 9:00 am[new_line][new_line]Occurred:[new_line]Incident:[new_line]Vandalism-Misdemeanor[new_line]Summary: A suspect cut a cable lock that was attached to a student's bicycle.[new_line][new_line]1/25/16[new_line]VANDALISM[new_line][new_line] 2:00 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]
1600278;2016-01-25 13:22:00;JOHN STAUFFER PHARMACEUTICAL SCIENCES  CENTER;SERVICE;A student suffering from menstrual issues was transported to a local hospital for medical treatment.  - 1/25/16 SERVICE  Illness Response;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 1:22 pm[new_line][new_line]Location:[new_line][new_line]JOHN STAUFFER PHARMACEUTICAL SCIENCES [new_line]CENTER[new_line][new_line]Report #:[new_line][new_line]1600278[new_line][new_line] 1:22 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student suffering from menstrual issues was transported to a local hospital for medical treatment.[new_line][new_line]-[new_line]1/25/16[new_line]SERVICE[new_line][new_line]Illness Response[new_line][new_line]Disposition: CLOSED[new_line][new_line] 3:28 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1600279;2016-01-25 15:18:00;KECK HOSPITAL OF USC;DISTURBANCE;Two vendors were involved in a verbal dispute on a loading dock at the location.  1/25/16 DISTURBANCE  Disturbing The Peace;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 3:18 pm[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1600279[new_line][new_line]-[new_line][new_line] 3:18 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: Two vendors were involved in a verbal dispute on a loading dock at the location.[new_line][new_line]1/25/16[new_line]DISTURBANCE[new_line][new_line]Disturbing The Peace[new_line][new_line] 3:31 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]
1600280;2016-01-25 14:23:00;SOCIAL WORK CENTER;THEFT-PETTY;A suspect removed the front wheel from a bicycle.  1/25/16 THEFT-PETTY;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 2:23 pm[new_line][new_line]Location:[new_line][new_line]SOCIAL WORK CENTER[new_line][new_line]Report #:[new_line][new_line]1600280[new_line][new_line]-[new_line][new_line] 2:23 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A suspect removed the front wheel from a bicycle.[new_line][new_line]1/25/16[new_line]THEFT-PETTY[new_line][new_line] 3:32 pm[new_line][new_line]1/25/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1600281;2016-01-25 16:10:00;OUTSIDE USC AREA;HARASSMENT;A student reported that an acquaintance continues to contact her after she asked him not do do so and it has caused her to fear   12/1/14 HARASSMENT;[new_line][new_line]1/25/16[new_line][new_line]-[new_line][new_line] 4:10 pm[new_line][new_line]Location:[new_line][new_line]OUTSIDE USC AREA[new_line][new_line]Report #:[new_line][new_line]1600281[new_line][new_line]-[new_line][new_line] 4:10 pm[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary: A student reported that an acquaintance continues to contact her after she asked him not do do so and it has caused her to fear [new_line][new_line]12/1/14[new_line]HARASSMENT[new_line][new_line]Disposition: Hold Over[new_line][new_line] 4:11 pm[new_line][new_line]Stalking[new_line][new_line]1/10/16[new_line][new_line]to[new_line][new_line]-[new_line][new_line]for her safety.[new_line][new_line]cc: Student Affairs, HR[new_line][new_line]
